,certifications,workshops,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,worked in teams ever?,Suggested Job Role
6711,machine learning,cloud computing,poor,programming,Business process analyst,Cloud Services,no,Web Developer
6712,distro making,hacking,medium,data engineering,system developer,SAaS services,no,Web Developer
6713,information security,web technologies,excellent,Software Engineering,developer,Sales and Marketing,yes,Web Developer
6714,r programming,testing,excellent,Software Engineering,cloud computing,BPA,yes,Web Developer
6715,r programming,web technologies,excellent,programming,cloud computing,SAaS services,no,Web Developer
6716,distro making,database security,poor,data engineering,system developer,BPA,yes,Web Developer
6717,machine learning,data science,poor,hacking,developer,Service Based,no,Web Developer
6718,python,testing,excellent,hacking,developer,Cloud Services,yes,Web Developer
6719,hadoop,game development,medium,cloud computing,developer,Service Based,yes,Web Developer
6720,r programming,data science,medium,hacking,developer,product development,yes,Web Developer
6721,information security,web technologies,poor,networks,security,Finance,no,Web Developer
6722,full stack,database security,poor,Management,cloud computing,Finance,no,Web Developer
6723,information security,system designing,poor,cloud computing,Business process analyst,SAaS services,yes,Web Developer
6724,distro making,testing,poor,parallel computing,testing,Service Based,no,Web Developer
6725,r programming,cloud computing,poor,Software Engineering,cloud computing,Product based,yes,Web Developer
6726,hadoop,system designing,excellent,Computer Architecture,testing,Web Services,yes,Web Developer
6727,information security,hacking,medium,networks,testing,Cloud Services,no,Web Developer
6728,full stack,hacking,excellent,Software Engineering,developer,Service Based,yes,Web Developer
6729,hadoop,system designing,excellent,Management,Business process analyst,BPA,no,Web Developer
6730,app development,data science,poor,Management,developer,Testing and Maintainance Services,yes,Web Developer
6731,information security,cloud computing,medium,programming,testing,Finance,no,Web Developer
6732,machine learning,system designing,medium,programming,Business process analyst,Product based,yes,Web Developer
6733,app development,testing,poor,programming,Business process analyst,Sales and Marketing,yes,Web Developer
6734,hadoop,cloud computing,poor,programming,security,Service Based,yes,Web Developer
6735,information security,web technologies,medium,networks,cloud computing,Testing and Maintainance Services,no,Web Developer
6736,full stack,web technologies,excellent,IOT,Business process analyst,Service Based,no,Web Developer
6737,information security,system designing,medium,Software Engineering,security,Product based,yes,Web Developer
6738,information security,system designing,excellent,cloud computing,security,Sales and Marketing,no,Web Developer
6739,distro making,cloud computing,excellent,networks,security,Sales and Marketing,no,Web Developer
6740,hadoop,cloud computing,poor,hacking,testing,SAaS services,yes,Web Developer
6741,python,hacking,excellent,Software Engineering,security,Cloud Services,yes,Web Developer
6742,python,system designing,excellent,parallel computing,system developer,BPA,yes,Web Developer
6743,machine learning,game development,medium,parallel computing,testing,Cloud Services,yes,Web Developer
6744,full stack,testing,poor,IOT,testing,SAaS services,no,Web Developer
6745,python,game development,medium,programming,security,product development,yes,Web Developer
6746,app development,database security,excellent,data engineering,testing,Product based,no,Web Developer
6747,shell programming,system designing,excellent,cloud computing,testing,Service Based,yes,Web Developer
6748,distro making,web technologies,excellent,Software Engineering,testing,Finance,no,Web Developer
6749,python,database security,excellent,programming,security,Web Services,no,Web Developer
6750,shell programming,web technologies,medium,data engineering,developer,product development,no,Web Developer
6751,information security,data science,medium,programming,developer,Cloud Services,yes,Web Developer
6752,app development,game development,medium,Computer Architecture,security,SAaS services,yes,Web Developer
6753,hadoop,data science,medium,Computer Architecture,developer,Product based,no,Web Developer
6754,machine learning,database security,medium,cloud computing,security,Sales and Marketing,no,Web Developer
6755,app development,hacking,excellent,Software Engineering,Business process analyst,Product based,no,Web Developer
6756,shell programming,game development,poor,parallel computing,cloud computing,Product based,no,Web Developer
6757,app development,cloud computing,poor,IOT,cloud computing,Service Based,yes,Web Developer
6758,hadoop,testing,medium,data engineering,developer,product development,no,Web Developer
6759,machine learning,testing,excellent,IOT,cloud computing,Testing and Maintainance Services,yes,Web Developer
6760,machine learning,database security,medium,Management,security,Testing and Maintainance Services,no,Web Developer
6761,hadoop,database security,poor,Software Engineering,developer,Cloud Services,yes,Web Developer
6762,full stack,web technologies,excellent,Management,security,Cloud Services,no,Web Developer
6763,app development,testing,poor,Management,system developer,Service Based,no,Web Developer
6764,distro making,testing,medium,Computer Architecture,testing,product development,yes,Web Developer
6765,machine learning,web technologies,poor,parallel computing,developer,Service Based,no,Web Developer
6766,distro making,database security,medium,networks,cloud computing,Service Based,no,Web Developer
6767,r programming,hacking,medium,IOT,Business process analyst,Cloud Services,yes,Web Developer
6768,machine learning,data science,excellent,data engineering,developer,Cloud Services,yes,Web Developer
6769,hadoop,game development,medium,parallel computing,Business process analyst,Web Services,no,Web Developer
6770,machine learning,web technologies,medium,parallel computing,Business process analyst,Sales and Marketing,yes,Web Developer
6771,r programming,hacking,medium,programming,testing,product development,yes,Web Developer
6772,r programming,testing,medium,Software Engineering,Business process analyst,Sales and Marketing,no,Web Developer
6773,shell programming,data science,excellent,networks,Business process analyst,product development,yes,Web Developer
6774,hadoop,data science,poor,Computer Architecture,cloud computing,Service Based,yes,Web Developer
6775,information security,data science,medium,IOT,system developer,Service Based,yes,Web Developer
6776,distro making,cloud computing,poor,parallel computing,testing,Cloud Services,yes,Web Developer
6777,app development,database security,poor,Management,Business process analyst,Web Services,yes,Web Developer
6778,distro making,testing,excellent,data engineering,cloud computing,Cloud Services,no,Web Developer
6779,distro making,system designing,excellent,IOT,developer,Sales and Marketing,yes,Web Developer
6780,r programming,database security,excellent,hacking,Business process analyst,product development,no,Web Developer
